ID,Species,Date,Volume,PPM,Loss
349,C,9/30/2020,3500,0.113,0.3955
379,C,9/30/2020,1800,0.221,0.3978
623,C,9/30/2020,3100,0.092,0.2852
719,C,9/30/2020,3500,0.061,0.2135
750,C,9/30/2020,3900,0.335,1.3065
773,C,9/30/2020,1700,0.096,0.1632
839,C,9/30/2020,5100,0.146,0.7446
1486,C,9/30/2020,5200,0.05,0.26
2921,C,9/30/2020,2600,0.058,0.1508
3436,C,9/30/2020,4900,0.032,0.1568
349,C,10/8/2020,4500,0.138,0.621
379,C,10/8/2020,5000,0.114,0.57
623,C,10/8/2020,5500,0.062,0.341
719,C,10/8/2020,5000,0.068,0.34
750,C,10/8/2020,4750,0.081,0.38475
773,C,10/8/2020,4200,0.034,0.1428
839,C,10/8/2020,4500,0.11,0.495
1486,C,10/8/2020,5700,0.017,0.0969
2921,C,10/8/2020,4200,0.061,0.2562
3436,C,10/8/2020,5200,0.028,0.1456
349,C,11/10/2020,6000,0.315,1.89
379,C,11/10/2020,4750,0.607,2.88325
623,C,11/10/2020,5500,0.268,1.474
719,C,11/10/2020,5200,0.319,1.6588
750,C,11/10/2020,5000,0.432,2.16
773,C,11/10/2020,5000,0.185,0.925
839,C,11/10/2020,4000,0.455,1.82
1486,C,11/10/2020,6600,0.057,0.3762
2921,C,11/10/2020,5750,0.275,1.58125
3436,C,11/10/2020,5750,0.155,0.89125
165,H. altissima,8/10/2020,8380,0.283,2.37154
319,H. altissima,8/10/2020,7130,0.118,0.84134
334,H. altissima,8/10/2020,8600,0.055,0.473
373,H. altissima,8/10/2020,8000,0.195,1.56
377,H. altissima,8/10/2020,8500,0.175,1.4875
384,H. altissima,8/10/2020,7980,0.657,5.24286
631,H. altissima,8/11/2020,8300,0.047,0.3901
681,H. altissima,8/10/2020,7850,0.154,1.2089
700,H. altissima,8/10/2020,7680,0.074,0.56832
1486,H. altissima,8/10/2020,7680,0.082,0.62976
165,H. altissima,8/14/2020,7000,0.243,1.701
319,H. altissima,NA,NA,NA,NA
334,H. altissima,8/14/2020,9000,0.531,4.779
373,H. altissima,8/14/2020,7500,0.279,2.0925
377,H. altissima,8/14/2020,6000,0.218,1.308
384,H. altissima,8/14/2020,6500,0.26,1.69
631,H. altissima,8/14/2020,8000,0.322,2.576
681,H. altissima,8/14/2020,7000,0.107,0.749
700,H. altissima,8/14/2020,3600,0.097,0.3492
1486,H. altissima,8/14/2020,8000,0.384,3.072
165,H. altissima,8/31/2020,6000,0.069,0.414
319,H. altissima,8/31/2020,5800,0.151,0.8758
334,H. altissima,8/31/2020,6000,0.163,0.978
373,H. altissima,8/31/2020,5800,0.157,0.9106
377,H. altissima,8/31/2020,3500,0.056,0.196
384,H. altissima,8/31/2020,5000,0.711,3.555
631,H. altissima,8/31/2020,6200,0.036,0.2232
681,H. altissima,8/31/2020,2650,0.041,0.10865
700,H. altissima,8/31/2020,7000,0.113,0.791
1486,H. altissima,8/31/2020,6000,0.191,1.146
165,H. altissima,9/15/2020,5500,0.01,0.055
319,H. altissima,9/15/2020,3500,0.115,0.4025
334,H. altissima,9/15/2020,5000,0.108,0.54
373,H. altissima,9/15/2020,6000,0.1,0.6
377,H. altissima,9/15/2020,2000,0.035,0.07
384,H. altissima,9/15/2020,3500,0.266,0.931
631,H. altissima,9/15/2020,3500,0,0
681,H. altissima,9/15/2020,3700,0.004,0.0148
700,H. altissima,9/15/2020,5800,0.12,0.696
1486,H. altissima,9/15/2020,5400,0.038,0.2052
165,H. altissima,9/30/2020,5400,0.351,1.8954
319,H. altissima,9/30/2020,2500,0.076,0.19
334,H. altissima,9/30/2020,1500,0.181,0.2715
373,H. altissima,9/30/2020,5300,0.083,0.4399
377,H. altissima,9/30/2020,2500,0.088,0.22
384,H. altissima,9/30/2020,3950,0.13,0.5135
631,H. altissima,9/30/2020,2250,0.102,0.2295
681,H. altissima,9/30/2020,2000,0.083,0.166
700,H. altissima,9/30/2020,4500,0.235,1.0575
1407,H. altissima,9/30/2020,5400,0.13,0.702
165,H. altissima,10/8/2020,5500,0.1,0.55
319,H. altissima,10/8/2020,4700,0.11,0.517
334,H. altissima,10/8/2020,5000,0.056,0.28
373,H. altissima,10/8/2020,5000,0.11,0.55
377,H. altissima,10/8/2020,5500,0.068,0.374
384,H. altissima,10/8/2020,4000,0.248,0.992
631,H. altissima,10/8/2020,4500,0.022,0.099
681,H. altissima,10/8/2020,4500,0.041,0.1845
700,H. altissima,10/8/2020,4000,0.172,0.688
1407,H. altissima,10/8/2020,5500,0.081,0.4455
165,H. altissima,11/10/2020,6000,0.441,2.646
319,H. altissima,11/10/2020,5500,0.22,1.21
334,H. altissima,11/10/2020,5900,0.344,2.0296
373,H. altissima,11/10/2020,6000,0.198,1.188
377,H. altissima,11/10/2020,6000,0.141,0.846
384,H. altissima,11/10/2020,3400,0.538,1.8292
631,H. altissima,11/10/2020,5000,0.129,0.645
681,H. altissima,11/10/2020,5000,0.276,1.38
700,H. altissima,11/10/2020,3600,0.27,0.972
1407,H. altissima,11/10/2020,5750,0.088,0.506
129,C. nlemfuensis,8/10/2020,8810,0.056,0.49336
318,C. nlemfuensis,NA,NA,NA,NA
323,C. nlemfuensis,8/10/2020,7870,0.162,1.27494
340,C. nlemfuensis,8/10/2020,8750,0.018,0.1575
355,C. nlemfuensis,8/11/2020,7150,0.082,0.5863
369,C. nlemfuensis,8/10/2020,7570,0.045,0.34065
437,C. nlemfuensis,8/10/2020,8700,0.109,0.9483
659,C. nlemfuensis,8/10/2020,8200,0.077,0.6314
722,C. nlemfuensis,8/10/2020,8250,0.08,0.66
765,C. nlemfuensis,8/10/2020,8250,0.096,0.792
129,C. nlemfuensis,8/14/2020,6250,0.164,1.025
318,C. nlemfuensis,8/14/2020,5200,0.074,0.3848
323,C. nlemfuensis,8/14/2020,7000,0.108,0.756
340,C. nlemfuensis,8/14/2020,6000,0.085,0.51
355,C. nlemfuensis,8/14/2020,5000,0.07,0.35
369,C. nlemfuensis,8/14/2020,6750,0.266,1.7955
437,C. nlemfuensis,8/14/2020,6000,0.136,0.816
659,C. nlemfuensis,8/14/2020,7000,0.285,1.995
722,C. nlemfuensis,8/14/2020,6250,0.078,0.4875
765,C. nlemfuensis,8/14/2020,6700,0.074,0.4958
129,C. nlemfuensis,8/31/2020,5750,0.049,0.28175
318,C. nlemfuensis,8/31/2020,2500,0.044,0.11
323,C. nlemfuensis,8/31/2020,3800,0.172,0.6536
340,C. nlemfuensis,8/31/2020,6000,0.113,0.678
355,C. nlemfuensis,8/31/2020,4500,0.047,0.2115
369,C. nlemfuensis,8/31/2020,6100,0.138,0.8418
437,C. nlemfuensis,8/31/2020,6000,0.257,1.542
659,C. nlemfuensis,8/31/2020,5750,0.123,0.70725
722,C. nlemfuensis,8/31/2020,7750,0.065,0.50375
765,C. nlemfuensis,8/31/2020,5000,0.089,0.445
129,C. nlemfuensis,9/15/2020,5750,0.004,0.023
318,C. nlemfuensis,9/15/2020,6300,0,0
323,C. nlemfuensis,9/15/2020,5500,0.001,0.0055
